TAGGABLE_TYPE,TAGGABLE_ID,ATTRIBUTE_TAG,VALUE_TAG
Lemma,59600,ANIMACY,place
Lemma,59601,ANIMACY,human
Lemma,59602,ANIMACY,place
Lemma,59603,ANIMACY,place
Lemma,59606,ANIMACY,place
Lemma,59607,ANIMACY,human
Lemma,59609,ANIMACY,place
Lemma,59660,ANIMACY,place
Lemma,59661,ANIMACY,place
Lemma,59662,ANIMACY,place
Lemma,59666,ANIMACY,human
Lemma,59670,ANIMACY,place
Lemma,59675,ANIMACY,place
Lemma,59790,ANIMACY,human
Lemma,59792,ANIMACY,human
Lemma,59796,ANIMACY,place
Lemma,59797,ANIMACY,place
Lemma,59798,ANIMACY,human
Lemma,59802,ANIMACY,place
Lemma,59803,ANIMACY,human
Lemma,59809,ANIMACY,human
Lemma,59810,ANIMACY,human
Lemma,59813,ANIMACY,human
Lemma,59816,ANIMACY,human
Lemma,59817,ANIMACY,place
Lemma,59821,ANIMACY,human
Lemma,59822,ANIMACY,place
Lemma,59824,ANIMACY,place
Lemma,59828,ANIMACY,human
Lemma,59846,ANIMACY,human
Lemma,59852,ANIMACY,human
Lemma,59857,ANIMACY,human
Lemma,59859,ANIMACY,human
Lemma,59863,ANIMACY,human
Lemma,59876,ANIMACY,human
Lemma,59880,ANIMACY,human
Lemma,59899,ANIMACY,place
Lemma,59901,ANIMACY,human
Lemma,59902,ANIMACY,human
Lemma,59905,ANIMACY,human
Lemma,59906,ANIMACY,human
Lemma,59907,ANIMACY,human
Lemma,59908,ANIMACY,human
Lemma,59964,ANIMACY,human
Lemma,59970,ANIMACY,place
Lemma,59972,ANIMACY,place
Lemma,59973,ANIMACY,place
Lemma,59974,ANIMACY,place
Lemma,59976,ANIMACY,place
Lemma,60072,ANIMACY,place
Lemma,60073,ANIMACY,place
Lemma,60074,ANIMACY,place
Lemma,60084,ANIMACY,place
Lemma,60098,ANIMACY,human
Lemma,63935,ANIMACY,human
Lemma,63941,ANIMACY,human
Lemma,64325,ANIMACY,place
Lemma,64354,ANIMACY,human
